DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS,VISITOR_ABBR,HOME_ABBR
2021-01-13,MEMPHIS GRIZZLIES,118.0,MINNESOTA TIMBERWOLVES,107.0,MEM,MIN
2021-01-13,LOS ANGELES LAKERS,128.0,OKLAHOMA CITY THUNDER,99.0,LAL,OKC
2021-01-13,NEW ORLEANS PELICANS,106.0,LOS ANGELES CLIPPERS,111.0,NOP,LAC
2021-01-13,PORTLAND TRAIL BLAZERS,132.0,SACRAMENTO KINGS,126.0,POR,SAC
2021-01-14,MIAMI HEAT,108.0,PHILADELPHIA 76ERS,125.0,MIA,PHI
2021-01-14,HOUSTON ROCKETS,109.0,SAN ANTONIO SPURS,105.0,HOU,SAS
2021-01-14,CHARLOTTE HORNETS,108.0,TORONTO RAPTORS,111.0,CHO,TOR
2021-01-14,GOLDEN STATE WARRIORS,104.0,DENVER NUGGETS,114.0,GSW,DEN
2021-01-14,INDIANA PACERS,111.0,PORTLAND TRAIL BLAZERS,87.0,IND,POR
2021-01-15,ORLANDO MAGIC,97.0,BOSTON CELTICS,124.0,ORL,BOS
2021-01-15,NEW YORK KNICKS,103.0,CLEVELAND CAVALIERS,106.0,NYK,CLE
2021-01-15,DALLAS MAVERICKS,109.0,MILWAUKEE BUCKS,112.0,DAL,MIL
2021-01-15,CHICAGO BULLS,125.0,OKLAHOMA CITY THUNDER,127.0,CHI,OKC
2021-01-15,ATLANTA HAWKS,92.0,UTAH JAZZ,116.0,ATL,UTA
2021-01-15,NEW ORLEANS PELICANS,95.0,LOS ANGELES LAKERS,112.0,NOP,LAL
2021-01-15,LOS ANGELES CLIPPERS,138.0,SACRAMENTO KINGS,100.0,LAC,SAC
2021-01-16,HOUSTON ROCKETS,91.0,SAN ANTONIO SPURS,103.0,HOU,SAS
2021-01-16,ORLANDO MAGIC,115.0,BROOKLYN NETS,122.0,ORL,BRK
2021-01-16,CHARLOTTE HORNETS,113.0,TORONTO RAPTORS,116.0,CHO,TOR
2021-01-16,PHILADELPHIA 76ERS,104.0,MEMPHIS GRIZZLIES,106.0,PHI,MEM
2021-01-16,DETROIT PISTONS,120.0,MIAMI HEAT,100.0,DET,MIA
2021-01-16,ATLANTA HAWKS,106.0,PORTLAND TRAIL BLAZERS,112.0,ATL,POR
2021-01-17,NEW YORK KNICKS,105.0,BOSTON CELTICS,75.0,NYK,BOS
2021-01-17,CHICAGO BULLS,117.0,DALLAS MAVERICKS,101.0,CHI,DAL
2021-01-17,UTAH JAZZ,109.0,DENVER NUGGETS,105.0,UTA,DEN
2021-01-17,NEW ORLEANS PELICANS,128.0,SACRAMENTO KINGS,123.0,NOP,SAC
2021-01-17,INDIANA PACERS,96.0,LOS ANGELES CLIPPERS,129.0,IND,LAC
2021-01-18,ORLANDO MAGIC,84.0,NEW YORK KNICKS,91.0,ORL,NYK
2021-01-18,MINNESOTA TIMBERWOLVES,97.0,ATLANTA HAWKS,108.0,MIN,ATL
2021-01-18,SAN ANTONIO SPURS,125.0,PORTLAND TRAIL BLAZERS,104.0,SAS,POR
2021-01-18,PHOENIX SUNS,104.0,MEMPHIS GRIZZLIES,108.0,PHO,MEM
2021-01-18,MILWAUKEE BUCKS,123.0,BROOKLYN NETS,125.0,MIL,BRK
2021-01-18,DALLAS MAVERICKS,93.0,TORONTO RAPTORS,116.0,DAL,TOR
2021-01-18,HOUSTON ROCKETS,120.0,CHICAGO BULLS,125.0,HOU,CHI
2021-01-18,DETROIT PISTONS,107.0,MIAMI HEAT,113.0,DET,MIA
2021-01-18,GOLDEN STATE WARRIORS,115.0,LOS ANGELES LAKERS,113.0,GSW,LAL
2021-01-19,OKLAHOMA CITY THUNDER,101.0,DENVER NUGGETS,119.0,OKC,DEN
2021-01-19,NEW ORLEANS PELICANS,102.0,UTAH JAZZ,118.0,NOP,UTA
2021-01-20,BROOKLYN NETS,135.0,CLEVELAND CAVALIERS,147.0,BRK,CLE
2021-01-20,DALLAS MAVERICKS,124.0,INDIANA PACERS,112.0,DAL,IND
2021-01-20,BOSTON CELTICS,109.0,PHILADELPHIA 76ERS,117.0,BOS,PHI
2021-01-20,DETROIT PISTONS,115.0,ATLANTA HAWKS,123.0,DET,ATL
