DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS
2021-11-19,Indiana Pacers,118.0,Charlotte Hornets,121.0
2021-11-19,Golden State Warriors,105.0,Detroit Pistons,102.0
2021-11-19,Los Angeles Lakers,108.0,Boston Celtics,130.0
2021-11-19,Orlando Magic,113.0,Brooklyn Nets,115.0
2021-11-19,Oklahoma City Thunder,89.0,Milwaukee Bucks,96.0
2021-11-19,Los Angeles Clippers,81.0,New Orleans Pelicans,94.0
2021-11-19,Chicago Bulls,114.0,Denver Nuggets,108.0
2021-11-19,Dallas Mavericks,104.0,Phoenix Suns,112.0
2021-11-19,Toronto Raptors,108.0,Sacramento Kings,89.0
2021-11-20,Houston Rockets,99.0,New York Knicks,106.0
2021-11-20,New Orleans Pelicans,94.0,Indiana Pacers,111.0
2021-11-20,Miami Heat,100.0,Washington Wizards,103.0
2021-11-20,Charlotte Hornets,105.0,Atlanta Hawks,115.0
2021-11-20,Oklahoma City Thunder,105.0,Boston Celtics,111.0
2021-11-20,Orlando Magic,108.0,Milwaukee Bucks,117.0
2021-11-20,Memphis Grizzlies,95.0,Minnesota Timberwolves,138.0
2021-11-20,Philadelphia 76ers,111.0,Portland Trail Blazers,118.0
2021-11-20,Utah Jazz,123.0,Sacramento Kings,105.0
2021-11-21,Dallas Mavericks,91.0,Los Angeles Clippers,97.0
2021-11-21,Los Angeles Lakers,121.0,Detroit Pistons,116.0
2021-11-21,New York Knicks,103.0,Chicago Bulls,109.0
2021-11-21,Denver Nuggets,97.0,Phoenix Suns,126.0
2021-11-21,Toronto Raptors,104.0,Golden State Warriors,119.0
2021-11-22,Brooklyn Nets,117.0,Cleveland Cavaliers,112.0
2021-11-22,Charlotte Hornets,109.0,Washington Wizards,103.0
2021-11-22,Oklahoma City Thunder,101.0,Atlanta Hawks,113.0
2021-11-22,Houston Rockets,90.0,Boston Celtics,108.0
2021-11-22,Indiana Pacers,109.0,Chicago Bulls,77.0
2021-11-22,Orlando Magic,92.0,Milwaukee Bucks,123.0
2021-11-22,Minnesota Timberwolves,110.0,New Orleans Pelicans,96.0
2021-11-22,Phoenix Suns,115.0,San Antonio Spurs,111.0
2021-11-22,Memphis Grizzlies,119.0,Utah Jazz,118.0
2021-11-22,Philadelphia 76ers,102.0,Sacramento Kings,94.0
2021-11-23,Miami Heat,100.0,Detroit Pistons,92.0
2021-11-23,Los Angeles Lakers,100.0,New York Knicks,106.0
2021-11-23,Denver Nuggets,100.0,Portland Trail Blazers,119.0
2021-11-23,Dallas Mavericks,112.0,Los Angeles Clippers,104.0
2021-11-24,Phoenix Suns,120.0,Cleveland Cavaliers,115.0
2021-11-24,Los Angeles Lakers,124.0,Indiana Pacers,116.0
2021-11-24,Charlotte Hornets,106.0,Orlando Magic,99.0
2021-11-24,Brooklyn Nets,123.0,Boston Celtics,104.0
2021-11-24,Chicago Bulls,113.0,Houston Rockets,118.0
