DATE,HOME_ABBR,VISITOR_ABBR,PTS_home,PTS_away,MARGIN,HOME_TEAM_WINS,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away
2021-11-18,MEM,LAC,120,108,12,1,.542,.833,.423,28,47,.467,1.000,.410,24,34
2021-11-18,MIN,SAS,115,90,25,1,.477,.800,.429,30,47,.417,.737,.188,26,42
2021-11-18,DEN,PHI,89,103,-14,0,.360,.813,.333,22,46,.506,.500,.379,22,45
2021-11-18,UTA,TOR,119,103,16,1,.550,.923,.413,34,46,.415,.882,.263,24,35
2021-11-19,CHO,IND,121,118,3,1,.543,.750,.387,28,45,.466,.781,.306,19,38
2021-11-19,DET,GSW,102,105,-3,0,.400,.800,.333,21,35,.475,.810,.400,22,48
2021-11-19,BOS,LAL,130,108,22,1,.500,.816,.367,22,51,.464,.750,.400,20,33
2021-11-19,BRK,ORL,115,113,2,1,.451,.920,.303,19,43,.449,.760,.368,26,45
2021-11-19,MIL,OKC,96,89,7,1,.373,.846,.293,21,53,.352,.619,.250,17,53
2021-11-19,NOP,LAC,94,81,13,1,.437,.625,.433,19,55,.378,.800,.243,22,43
2021-11-19,DEN,CHI,108,114,-6,0,.476,.800,.378,24,38,.441,1.000,.258,19,50
2021-11-19,PHO,DAL,112,104,8,1,.518,.714,.483,28,53,.411,.783,.300,25,40
2021-11-19,SAC,TOR,89,108,-19,0,.381,.640,.243,15,40,.452,.833,.387,20,53
2021-11-20,NYK,HOU,106,99,7,1,.423,.846,.439,25,37,.452,.591,.256,21,48
2021-11-20,IND,NOP,111,94,17,1,.462,.722,.368,28,46,.398,.947,.333,17,52
2021-11-20,WAS,MIA,103,100,3,1,.486,.870,.367,22,35,.469,.850,.259,21,37
2021-11-20,ATL,CHO,115,105,10,1,.524,.810,.353,24,46,.422,.600,.250,26,51
2021-11-20,BOS,OKC,111,105,6,1,.466,.857,.436,28,48,.406,.563,.429,23,54
2021-11-20,MIL,ORL,117,108,9,1,.451,.649,.475,25,60,.398,.786,.373,26,39
2021-11-20,MIN,MEM,138,95,43,1,.538,.714,.488,28,50,.349,.800,.281,21,33
2021-11-20,POR,PHI,118,111,7,1,.500,1.000,.441,23,38,.506,.905,.357,24,32
2021-11-20,SAC,UTA,105,123,-18,0,.451,.619,.323,20,35,.505,.824,.436,20,52
2021-11-21,LAC,DAL,97,91,6,1,.480,.722,.414,18,42,.410,.944,.200,21,39
2021-11-21,DET,LAL,116,121,-5,0,.443,.762,.350,27,39,.489,.778,.323,29,51
2021-11-21,CHI,NYK,109,103,6,1,.420,.889,.379,21,44,.417,.839,.259,16,44
2021-11-21,PHO,DEN,126,97,29,1,.529,.885,.306,34,51,.367,.714,.289,20,42
2021-11-21,GSW,TOR,119,104,15,1,.494,.792,.489,31,47,.394,.550,.405,25,47
2021-11-22,CLE,BRK,112,117,-5,0,.387,.897,.318,24,53,.474,.889,.314,32,42
2021-11-22,WAS,CHO,103,109,-6,0,.383,.815,.243,23,65,.440,.583,.484,21,36
2021-11-22,ATL,OKC,113,101,12,1,.483,.938,.412,25,44,.402,.929,.263,24,50
2021-11-22,BOS,HOU,108,90,18,1,.424,.947,.343,19,58,.373,.708,.262,19,42
2021-11-22,CHI,IND,77,109,-32,0,.365,.600,.214,13,38,.444,.889,.419,27,59
2021-11-22,MIL,ORL,123,92,31,1,.468,.708,.400,28,55,.366,.722,.268,16,47
2021-11-22,NOP,MIN,96,110,-14,0,.420,.889,.188,24,48,.400,.714,.227,21,49
