DATE,HOME_ABBR,VISITOR_ABBR,PTS_home,PTS_away,MARGIN,HOME_TEAM_WINS,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,home_winning_percentage,visitor_winning_percentage
2021-10-29,LAL,CLE,113,101,12,1,0.5479999999999999,0.9,0.444,24,42,0.425,0.682,0.353,28,36,0.5,0.5
2021-10-30,WAS,BOS,115,112,3,1,0.365,0.8059999999999999,0.278,19,62,0.41100000000000003,0.88,0.077,23,54,0.8333333333333334,0.3333333333333333
2021-10-30,DET,ORL,110,103,7,1,0.40399999999999997,0.8,0.326,26,48,0.4370000000000001,0.733,0.5,21,46,0.2,0.14285714285714285
2021-10-30,NOP,NYK,117,123,-6,0,0.457,0.917,0.33299999999999996,30,43,0.519,0.8,0.5760000000000001,22,37,0.14285714285714285,0.8333333333333334
2021-10-30,IND,TOR,94,97,-3,0,0.4320000000000001,0.688,0.302,25,40,0.424,0.667,0.344,18,48,0.14285714285714285,0.5714285714285714
2021-10-30,PHI,ATL,122,94,28,1,0.535,0.9470000000000001,0.316,24,37,0.379,0.737,0.364,24,49,0.6666666666666666,0.5
2021-10-30,CHI,UTA,107,99,8,1,0.429,0.8,0.23800000000000002,16,45,0.38,0.9470000000000001,0.289,15,54,0.8333333333333334,0.8
2021-10-30,MEM,MIA,103,129,-26,0,0.386,0.905,0.32,26,32,0.523,0.8420000000000001,0.568,31,50,0.5,0.8333333333333334
2021-10-30,MIL,SAS,93,102,-9,0,0.40399999999999997,0.688,0.256,20,52,0.41100000000000003,0.708,0.226,28,49,0.5,0.3333333333333333
2021-10-30,GSW,OKC,103,82,21,1,0.424,0.5,0.389,30,56,0.349,0.762,0.205,14,45,0.8333333333333334,0.16666666666666666
2021-10-30,MIN,DEN,91,93,-2,0,0.39299999999999996,0.889,0.317,21,46,0.409,0.75,0.243,24,48,0.6,0.6666666666666666
2021-10-30,PHO,CLE,101,92,9,1,0.46399999999999997,0.63,0.231,27,52,0.396,0.857,0.318,21,47,0.4,0.42857142857142855
2021-10-31,DAL,SAC,105,99,6,1,0.444,0.65,0.324,24,45,0.396,0.8,0.19399999999999998,20,56,0.6666666666666666,0.5
2021-10-31,CHO,POR,125,113,12,1,0.517,0.619,0.47600000000000003,36,44,0.44299999999999995,0.909,0.315,30,47,0.7142857142857143,0.5
2021-10-31,MIL,UTA,95,107,-12,0,0.406,0.833,0.293,16,44,0.467,0.9259999999999999,0.324,13,44,0.42857142857142855,0.8333333333333334
2021-10-31,BRK,DET,117,91,26,1,0.653,0.625,0.52,30,41,0.405,0.682,0.364,21,29,0.5714285714285714,0.16666666666666666
2021-10-31,LAL,HOU,95,85,10,1,0.406,0.615,0.29,22,43,0.42100000000000004,0.517,0.214,18,55,0.5714285714285714,0.16666666666666666
2021-11-01,CHO,CLE,110,113,-3,0,0.41600000000000004,0.733,0.385,27,46,0.433,0.684,0.321,21,49,0.625,0.5
2021-11-01,IND,SAS,131,118,13,1,0.5710000000000001,0.75,0.474,37,39,0.528,0.7140000000000001,0.5,34,36,0.25,0.2857142857142857
2021-11-01,PHI,POR,113,103,10,1,0.518,0.875,0.361,34,34,0.47600000000000003,0.611,0.353,21,45,0.7142857142857143,0.42857142857142855
2021-11-01,ATL,WAS,118,111,7,1,0.45799999999999996,1.0,0.382,24,47,0.47700000000000004,1.0,0.33299999999999996,27,36,0.5714285714285714,0.7142857142857143
2021-11-01,BOS,CHI,114,128,-14,0,0.43799999999999994,0.75,0.455,20,38,0.57,0.9440000000000001,0.419,30,50,0.2857142857142857,0.8571428571428571
2021-11-01,NYK,TOR,104,113,-9,0,0.461,0.75,0.42100000000000004,20,41,0.434,0.929,0.33299999999999996,24,48,0.7142857142857143,0.625
2021-11-01,MEM,DEN,106,97,9,1,0.45399999999999996,0.7140000000000001,0.382,20,55,0.44299999999999995,0.667,0.237,27,40,0.5714285714285714,0.5714285714285714
2021-11-01,MIN,ORL,97,115,-18,0,0.371,0.579,0.275,21,47,0.451,0.8,0.395,21,51,0.5,0.25
2021-11-01,LAC,OKC,99,94,5,1,0.38,0.737,0.35700000000000004,18,51,0.389,0.813,0.297,17,51,0.3333333333333333,0.14285714285714285
2021-11-02,DET,MIL,89,117,-28,0,0.32299999999999995,0.7,0.17,21,43,0.5,0.762,0.45899999999999996,28,52,0.14285714285714285,0.5
2021-11-02,DAL,MIA,110,125,-15,0,0.44,0.71,0.33299999999999996,17,41,0.518,0.867,0.52,25,45,0.5714285714285714,0.8571428571428571
2021-11-02,UTA,SAC,119,113,6,1,0.439,0.7040000000000001,0.292,16,59,0.452,0.708,0.387,24,38,0.8571428571428571,0.42857142857142855
2021-11-02,PHO,NOP,112,100,12,1,0.524,0.9440000000000001,0.34600000000000003,32,42,0.396,0.938,0.33299999999999996,21,43,0.5,0.125
2021-11-02,LAL,HOU,119,117,2,1,0.527,0.75,0.24,26,43,0.527,0.41700000000000004,0.381,27,38,0.625,0.14285714285714285
2021-11-03,CLE,POR,107,104,3,1,0.527,0.778,0.5,29,43,0.444,0.647,0.35100000000000003,24,39,0.5555555555555556,0.375
2021-11-03,IND,NYK,111,98,13,1,0.462,0.7859999999999999,0.39,26,49,0.414,0.778,0.20800000000000002,23,46,0.3333333333333333,0.625
2021-11-03,ORL,BOS,79,92,-13,0,0.321,0.8,0.209,15,46,0.418,0.64,0.27,24,50,0.2222222222222222,0.375
2021-11-03,PHI,CHI,103,98,5,1,0.494,0.7140000000000001,0.429,24,35,0.46299999999999997,0.889,0.28600000000000003,19,47,0.75,0.75
2021-11-03,WAS,TOR,100,109,-9,0,0.436,0.8,0.25,19,44,0.466,0.85,0.4,17,42,0.625,0.6666666666666666
2021-11-03,BRK,ATL,117,108,9,1,0.489,0.75,0.45799999999999996,34,42,0.436,0.867,0.371,23,52,0.625,0.5
2021-11-03,MEM,DEN,108,106,2,1,0.519,0.5710000000000001,0.47100000000000003,28,36,0.473,0.9229999999999999,0.29600000000000004,24,44,0.625,0.5
2021-11-03,MIN,LAC,115,126,-11,0,0.457,0.938,0.35,27,39,0.603,0.917,0.583,33,35,0.42857142857142855,0.42857142857142855
2021-11-03,SAS,DAL,108,109,-1,0,0.489,0.75,0.33299999999999996,25,40,0.43,0.7240000000000001,0.235,21,56,0.25,0.625
2021-11-03,GSW,CHO,114,92,22,1,0.488,0.667,0.4,33,53,0.374,0.737,0.278,18,49,0.8571428571428571,0.5555555555555556
2021-11-03,SAC,NOP,112,99,13,1,0.525,0.818,0.33299999999999996,27,37,0.43,0.867,0.353,24,40,0.5,0.1111111111111111
2021-11-04,DET,PHI,98,109,-11,0,0.402,0.895,0.306,21,41,0.494,0.682,0.375,22,49,0.125,0.7777777777777778
2021-11-04,ATL,UTA,98,116,-18,0,0.4270000000000001,0.8079999999999999,0.25,18,32,0.506,0.7390000000000001,0.415,30,46,0.4444444444444444,0.875
2021-11-04,MIA,BOS,78,95,-17,0,0.34600000000000003,0.684,0.22,18,45,0.397,0.85,0.39,16,46,0.75,0.4444444444444444
2021-11-04,PHO,HOU,123,111,12,1,0.473,0.9129999999999999,0.452,29,46,0.4320000000000001,0.857,0.344,25,43,0.5714285714285714,0.125
2021-11-04,LAL,OKC,104,107,-3,0,0.415,0.8240000000000001,0.364,22,49,0.425,0.6920000000000001,0.366,23,50,0.5555555555555556,0.25
2021-11-05,DET,BRK,90,96,-6,0,0.379,0.722,0.324,17,44,0.45,0.929,0.40700000000000003,25,45,0.1111111111111111,0.6666666666666666
2021-11-05,ORL,SAS,89,102,-13,0,0.39299999999999996,0.7,0.293,23,43,0.444,0.889,0.316,23,48,0.2,0.3333333333333333
2021-11-05,WAS,MEM,115,87,28,1,0.583,0.5379999999999999,0.4,34,53,0.354,0.765,0.19399999999999998,19,39,0.6666666666666666,0.5555555555555556
2021-11-05,MIL,NYK,98,113,-15,0,0.402,0.762,0.3720000000000001,19,37,0.4270000000000001,0.8079999999999999,0.25,16,59,0.4444444444444444,0.6666666666666666
2021-11-05,TOR,CLE,101,102,-1,0,0.424,0.556,0.444,20,45,0.45799999999999996,0.8420000000000001,0.33299999999999996,22,39,0.6,0.6
2021-11-05,MIN,LAC,84,104,-20,0,0.348,0.7140000000000001,0.327,17,42,0.409,0.813,0.214,18,62,0.375,0.5
2021-11-05,GSW,NOP,126,85,41,1,0.516,0.857,0.4,36,49,0.35200000000000004,0.75,0.25,23,42,0.875,0.1
2021-11-05,POR,IND,110,106,4,1,0.488,0.867,0.436,27,42,0.489,0.6,0.33299999999999996,28,40,0.4444444444444444,0.3
2021-11-05,SAC,CHO,140,110,30,1,0.552,0.846,0.5,29,56,0.467,0.619,0.314,29,28,0.5555555555555556,0.5
2021-11-06,DEN,HOU,95,94,1,1,0.40399999999999997,0.8240000000000001,0.225,19,45,0.467,0.667,0.28600000000000003,19,47,0.5555555555555556,0.1111111111111111
2021-11-06,MIA,UTA,118,115,3,1,0.603,0.765,0.524,30,36,0.518,0.737,0.33299999999999996,26,31,0.7777777777777778,0.7777777777777778
2021-11-06,CHI,PHI,105,114,-9,0,0.402,0.8,0.24100000000000002,20,46,0.531,0.789,0.5,22,41,0.6666666666666666,0.8
2021-11-06,DAL,BOS,107,104,3,1,0.526,0.857,0.33299999999999996,19,40,0.488,0.688,0.29,20,36,0.6666666666666666,0.4
2021-11-06,PHO,ATL,121,117,4,1,0.511,0.81,0.326,26,42,0.433,0.87,0.39399999999999996,18,50,0.625,0.4
2021-11-06,POR,LAL,105,90,15,1,0.379,0.75,0.273,22,52,0.344,0.792,0.281,20,59,0.5,0.5
2021-11-07,TOR,BRK,103,116,-13,0,0.47100000000000003,0.778,0.233,23,35,0.513,0.85,0.447,29,48,0.5454545454545454,0.7
2021-11-07,NYK,CLE,109,126,-17,0,0.45899999999999996,0.917,0.29,21,32,0.544,0.818,0.5429999999999999,31,48,0.6,0.6363636363636364
2021-11-07,ORL,UTA,107,100,7,1,0.494,0.818,0.375,24,39,0.382,0.828,0.19,21,50,0.2727272727272727,0.7
2021-11-07,SAC,IND,91,94,-3,0,0.369,0.8640000000000001,0.294,20,33,0.446,0.778,0.24,13,54,0.5,0.36363636363636365
2021-11-07,WAS,MIL,101,94,7,1,0.506,0.615,0.40700000000000003,24,42,0.39399999999999996,0.556,0.278,17,49,0.7,0.4
2021-11-07,OKC,SAS,99,94,5,1,0.3720000000000001,0.85,0.28600000000000003,21,57,0.41,0.667,0.2,29,46,0.3333333333333333,0.3
2021-11-07,GSW,HOU,120,107,13,1,0.518,0.85,0.326,31,41,0.456,0.6759999999999999,0.303,17,42,0.8888888888888888,0.1
2021-11-07,LAC,CHO,120,106,14,1,0.47700000000000004,0.9520000000000001,0.375,24,50,0.406,0.778,0.303,20,44,0.5555555555555556,0.45454545454545453
2021-11-08,PHI,NYK,96,103,-7,0,0.385,0.813,0.325,20,47,0.44,0.769,0.325,25,55,0.7272727272727273,0.6363636363636364
2021-11-08,CHI,BRK,118,95,23,1,0.469,0.85,0.29,21,56,0.395,0.8420000000000001,0.33299999999999996,19,42,0.7,0.6363636363636364
2021-11-08,MEM,MIN,125,118,7,1,0.5,0.846,0.39299999999999996,28,51,0.423,0.826,0.37799999999999995,23,45,0.6,0.3333333333333333
2021-11-08,DAL,NOP,108,92,16,1,0.506,0.615,0.4,27,46,0.425,0.818,0.265,27,39,0.7,0.09090909090909091
2021-11-08,DEN,MIA,113,96,17,1,0.462,0.708,0.293,28,49,0.397,0.84,0.361,22,37,0.6,0.7
2021-11-08,GSW,ATL,127,113,14,1,0.478,0.955,0.409,31,39,0.46299999999999997,0.769,0.395,21,35,0.9,0.36363636363636365
2021-11-08,SAC,PHO,104,109,-5,0,0.451,0.769,0.41700000000000004,18,46,0.473,0.818,0.4,28,38,0.45454545454545453,0.6666666666666666
2021-11-08,LAL,CHO,126,123,3,1,0.484,0.7140000000000001,0.406,30,51,0.434,0.821,0.33299999999999996,23,55,0.5454545454545454,0.4166666666666667
2021-11-09,PHI,MIL,109,118,-9,0,0.408,0.917,0.326,21,46,0.46299999999999997,0.7140000000000001,0.385,21,52,0.6666666666666666,0.45454545454545453
2021-11-09,UTA,ATL,110,98,12,1,0.506,0.813,0.395,21,44,0.435,0.6,0.514,22,32,0.7272727272727273,0.3333333333333333
2021-11-09,LAC,POR,117,109,8,1,0.518,0.684,0.5329999999999999,25,43,0.473,0.75,0.37799999999999995,29,43,0.6,0.45454545454545453
2021-11-10,CLE,WAS,94,97,-3,0,0.461,0.7140000000000001,0.29,21,40,0.41700000000000004,1.0,0.35700000000000004,25,49,0.5833333333333334,0.7272727272727273
2021-11-10,ORL,BRK,90,123,-33,0,0.38,0.667,0.121,19,49,0.505,0.882,0.4320000000000001,29,49,0.25,0.6666666666666666
2021-11-10,BOS,TOR,104,88,16,1,0.447,0.667,0.345,21,44,0.429,0.8420000000000001,0.24,20,41,0.45454545454545453,0.5
2021-11-10,HOU,DET,104,112,-8,0,0.4270000000000001,0.647,0.353,17,42,0.433,0.667,0.33299999999999996,23,49,0.09090909090909091,0.2
2021-11-10,NYK,MIL,100,112,-12,0,0.434,0.706,0.4320000000000001,19,38,0.444,0.667,0.52,29,50,0.5833333333333334,0.5
2021-11-10,CHI,DAL,117,107,10,1,0.506,0.857,0.484,26,46,0.45799999999999996,0.792,0.364,23,43,0.7272727272727273,0.6363636363636364
2021-11-10,MEM,CHO,108,118,-10,0,0.42100000000000004,0.6,0.237,27,57,0.456,0.875,0.41700000000000004,32,49,0.5454545454545454,0.46153846153846156
2021-11-10,NOP,OKC,100,108,-8,0,0.35100000000000003,0.7190000000000001,0.257,24,50,0.425,0.8,0.294,23,56,0.08333333333333333,0.4
2021-11-10,SAS,SAC,136,117,19,1,0.5329999999999999,0.645,0.563,34,43,0.516,0.813,0.278,20,44,0.36363636363636365,0.4166666666666667
