DATE,HOME_ABBR,VISITOR_ABBR,PTS_home,PTS_away,margin,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away
2021-01-16,TOR,3,116.0,113.0,CHO,.419,.885,.429,28,43,.437,.759,.417,26,48
2021-01-16,MEM,2,106.0,104.0,PHI,.434,.667,.276,27,43,.440,.719,.280,23,53
2021-01-16,MIA,-20,100.0,120.0,DET,.478,.889,.414,25,31,.505,.667,.391,34,39
2021-01-16,POR,6,112.0,106.0,ATL,.388,.850,.341,18,55,.437,.857,.200,24,48
2021-01-17,BOS,-30,75.0,105.0,NYK,.298,.621,.152,15,43,.475,.810,.387,22,53
2021-01-17,DAL,-16,101.0,117.0,CHI,.441,.579,.258,18,47,.506,.727,.280,32,47
2021-01-17,DEN,-4,105.0,109.0,UTA,.400,.733,.378,25,52,.513,.571,.405,24,36
2021-01-17,SAC,-5,123.0,128.0,NOP,.516,.889,.333,23,33,.529,.794,.500,24,48
2021-01-17,LAC,33,129.0,96.0,IND,.552,.700,.487,27,52,.416,.688,.289,28,33
2021-01-18,NYK,7,91.0,84.0,ORL,.356,.706,.185,15,53,.337,.875,.316,18,51
2021-01-18,ATL,11,108.0,97.0,MIN,.468,.920,.393,32,48,.396,.688,.378,22,39
2021-01-18,POR,-21,104.0,125.0,SAS,.433,.842,.286,20,34,.533,.875,.455,33,48
2021-01-18,MEM,4,108.0,104.0,PHO,.494,.750,.423,31,40,.455,.563,.417,30,44
2021-01-18,BRK,2,125.0,123.0,MIL,.548,.857,.484,26,49,.438,.833,.289,21,41
2021-01-18,TOR,23,116.0,93.0,DAL,.500,.889,.364,23,46,.378,.815,.250,21,38
2021-01-18,CHI,5,125.0,120.0,HOU,.467,.905,.444,23,47,.523,.647,.425,25,36
2021-01-18,MIA,6,113.0,107.0,DET,.573,.789,.400,23,36,.463,.750,.351,24,32
2021-01-18,LAL,-2,113.0,115.0,GSW,.482,.727,.310,23,50,.506,.750,.324,31,32
2021-01-19,DEN,18,119.0,101.0,OKC,.438,.929,.333,29,58,.419,.652,.326,22,41
2021-01-19,UTA,16,118.0,102.0,NOP,.506,.647,.447,28,54,.453,.667,.231,17,38
2021-01-20,CLE,12,147.0,135.0,BRK,.514,.714,.500,29,50,.453,.889,.366,30,52
2021-01-20,IND,-12,112.0,124.0,DAL,.446,.667,.410,21,38,.526,.824,.296,32,49
2021-01-20,PHI,8,117.0,109.0,BOS,.462,.800,.333,20,41,.472,.650,.364,22,45
2021-01-20,ATL,8,123.0,115.0,DET,.440,.684,.391,21,63,.454,.895,.323,22,42
2021-01-20,TOR,-9,102.0,111.0,MIA,.398,.889,.327,27,41,.488,.882,.450,29,46
2021-01-20,MIN,-1,96.0,97.0,ORL,.424,.643,.429,25,43,.391,.714,.323,26,48
2021-01-20,HOU,-6,103.0,109.0,PHO,.420,.864,.323,17,39,.472,.895,.235,25,45
2021-01-20,GSW,22,121.0,99.0,SAS,.505,.700,.395,31,54,.372,.806,.121,17,43
2021-01-20,LAC,19,115.0,96.0,SAC,.477,.944,.457,24,48,.453,.417,.464,25,39
2021-01-21,MIL,-7,106.0,113.0,LAL,.506,.750,.321,27,46,.466,.800,.514,25,38
2021-01-21,GSW,-15,104.0,119.0,NYK,.384,.744,.237,27,46,.463,.780,.458,24,55
2021-01-21,UTA,11,129.0,118.0,NOP,.500,.960,.436,27,39,.494,.767,.440,27,41
2021-01-22,CHO,-13,110.0,123.0,CHI,.494,.760,.219,22,46,.510,.833,.349,33,43
2021-01-22,DET,-1,102.0,103.0,HOU,.378,.676,.469,17,55,.389,.750,.341,24,51
2021-01-22,IND,2,120.0,118.0,ORL,.495,.889,.353,28,44,.457,.625,.459,29,49
2021-01-22,CLE,12,125.0,113.0,BRK,.517,.844,.320,24,50,.483,.882,.326,23,29
2021-01-22,PHI,12,122.0,110.0,BOS,.556,.833,.429,23,45,.456,.800,.400,23,32
2021-01-22,TOR,20,101.0,81.0,MIA,.464,.667,.425,22,45,.429,.800,.226,19,32
2021-01-22,MIN,-18,98.0,116.0,ATL,.430,.833,.250,30,40,.458,.833,.429,21,55
2021-01-22,SAS,-5,117.0,122.0,DAL,.461,.767,.429,21,49,.484,.900,.359,23,42
2021-01-22,LAC,14,120.0,106.0,OKC,.512,.960,.303,21,48,.471,.769,.333,24,29
2021-01-22,PHO,-4,126.0,130.0,DEN,.500,1.000,.386,30,45,.515,.947,.231,32,43
2021-01-22,SAC,9,103.0,94.0,NYK,.418,.714,.353,21,55,.383,.680,.227,19,57
2021-01-23,BRK,4,128.0,124.0,MIA,.530,.808,.514,34,47,.472,.844,.283,29,31
2021-01-23,DET,-4,110.0,114.0,PHI,.430,.733,.424,25,43,.458,.789,.348,14,49
2021-01-23,MIN,10,120.0,110.0,NOP,.429,.811,.353,23,50,.460,.714,.303,21,42
2021-01-23,CHI,-11,90.0,101.0,LAL,.393,.727,.320,18,45,.456,.806,.211,20,42
2021-01-23,DAL,-25,108.0,133.0,HOU,.446,.725,.200,15,36,.547,.793,.432,28,52
2021-01-23,PHO,-8,112.0,120.0,DEN,.402,.778,.302,26,50,.412,.781,.417,22,65
2021-01-23,UTA,19,127.0,108.0,GSW,.479,.773,.400,28,57,.452,.667,.359,30,35
2021-01-24,IND,-5,102.0,107.0,TOR,.402,.864,.333,23,47,.411,.692,.429,24,45
2021-01-24,LAC,8,108.0,100.0,OKC,.446,.750,.304,26,46,.442,.643,.200,22,51
2021-01-24,BOS,38,141.0,103.0,CLE,.559,.852,.500,26,55,.400,.735,.303,24,34
2021-01-24,ORL,-3,104.0,107.0,CHO,.448,.692,.447,27,43,.477,.563,.389,28,43
2021-01-24,MIL,14,129.0,115.0,ATL,.549,.704,.323,32,52,.506,.773,.359,27,27
2021-01-24,SAS,20,121.0,101.0,WAS,.500,.909,.484,27,44,.424,.643,.333,23,50
2021-01-24,POR,3,116.0,113.0,NYK,.470,.913,.370,19,39,.453,.920,.414,20,47
