DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS,MARGIN,HOME_ABBR,VISITOR_ABBR,HOME_TEAM_WINS,ID
2021-01-05,MINNESOTA TIMBERWOLVES,116.0,DENVER NUGGETS,123.0,7,DEN,MIN,1,103
2021-01-05,SAN ANTONIO SPURS,116.0,LOS ANGELES CLIPPERS,113.0,-3,LAC,SAS,0,104
2021-01-05,CHICAGO BULLS,111.0,PORTLAND TRAIL BLAZERS,108.0,-3,POR,CHI,0,105
2021-01-06,HOUSTON ROCKETS,107.0,INDIANA PACERS,114.0,7,IND,HOU,1,106
2021-01-06,CLEVELAND CAVALIERS,94.0,ORLANDO MAGIC,105.0,11,ORL,CLE,1,107
2021-01-06,WASHINGTON WIZARDS,136.0,PHILADELPHIA 76ERS,141.0,5,PHI,WAS,1,108
2021-01-06,CHARLOTTE HORNETS,102.0,ATLANTA HAWKS,94.0,-8,ATL,CHO,0,109
2021-01-06,BOSTON CELTICS,107.0,MIAMI HEAT,105.0,-2,MIA,BOS,0,110
2021-01-06,UTAH JAZZ,100.0,NEW YORK KNICKS,112.0,12,NYK,UTA,1,111
2021-01-06,DETROIT PISTONS,115.0,MILWAUKEE BUCKS,130.0,15,MIL,DET,1,112
2021-01-06,OKLAHOMA CITY THUNDER,111.0,NEW ORLEANS PELICANS,110.0,-1,NOP,OKC,0,113
2021-01-06,TORONTO RAPTORS,115.0,PHOENIX SUNS,123.0,8,PHO,TOR,1,114
2021-01-06,LOS ANGELES CLIPPERS,108.0,GOLDEN STATE WARRIORS,101.0,-7,GSW,LAC,0,115
2021-01-06,CHICAGO BULLS,124.0,SACRAMENTO KINGS,128.0,4,SAC,CHI,1,116
2021-01-07,PHILADELPHIA 76ERS,109.0,BROOKLYN NETS,122.0,13,BRK,PHI,1,117
2021-01-07,CLEVELAND CAVALIERS,94.0,MEMPHIS GRIZZLIES,90.0,-4,MEM,CLE,0,118
2021-01-07,DALLAS MAVERICKS,124.0,DENVER NUGGETS,117.0,-7,DEN,DAL,0,119
2021-01-07,SAN ANTONIO SPURS,118.0,LOS ANGELES LAKERS,109.0,-9,LAL,SAS,0,120
2021-01-07,MINNESOTA TIMBERWOLVES,117.0,PORTLAND TRAIL BLAZERS,135.0,18,POR,MIN,1,121
2021-01-08,PHOENIX SUNS,105.0,DETROIT PISTONS,110.0,5,DET,PHO,1,122
2021-01-08,WASHINGTON WIZARDS,107.0,BOSTON CELTICS,116.0,9,BOS,WAS,1,123
2021-01-08,CHARLOTTE HORNETS,118.0,NEW ORLEANS PELICANS,110.0,-8,NOP,CHO,0,124
2021-01-08,OKLAHOMA CITY THUNDER,101.0,NEW YORK KNICKS,89.0,-12,NYK,OKC,0,125
2021-01-08,ORLANDO MAGIC,90.0,HOUSTON ROCKETS,132.0,42,HOU,ORL,1,126
2021-01-08,BROOKLYN NETS,110.0,MEMPHIS GRIZZLIES,115.0,5,MEM,BRK,1,127
2021-01-08,UTAH JAZZ,131.0,MILWAUKEE BUCKS,118.0,-13,MIL,UTA,0,128
2021-01-08,LOS ANGELES CLIPPERS,105.0,GOLDEN STATE WARRIORS,115.0,10,GSW,LAC,1,129
2021-01-08,CHICAGO BULLS,115.0,LOS ANGELES LAKERS,117.0,2,LAL,CHI,1,130
2021-01-08,TORONTO RAPTORS,144.0,SACRAMENTO KINGS,123.0,-21,SAC,TOR,0,131
2021-01-09,DENVER NUGGETS,115.0,PHILADELPHIA 76ERS,103.0,-12,PHI,DEN,0,132
2021-01-09,ATLANTA HAWKS,105.0,CHARLOTTE HORNETS,113.0,8,CHO,ATL,1,133
2021-01-09,PHOENIX SUNS,125.0,INDIANA PACERS,117.0,-8,IND,PHO,0,134
2021-01-09,MIAMI HEAT,128.0,WASHINGTON WIZARDS,124.0,-4,WAS,MIA,0,135
2021-01-09,CLEVELAND CAVALIERS,90.0,MILWAUKEE BUCKS,100.0,10,MIL,CLE,1,136
2021-01-09,SAN ANTONIO SPURS,125.0,MINNESOTA TIMBERWOLVES,122.0,-3,MIN,SAS,0,137
2021-01-09,ORLANDO MAGIC,98.0,DALLAS MAVERICKS,112.0,14,DAL,ORL,1,138
2021-01-09,PORTLAND TRAIL BLAZERS,125.0,SACRAMENTO KINGS,99.0,-26,SAC,POR,0,139
2021-01-10,UTAH JAZZ,96.0,DETROIT PISTONS,86.0,-10,DET,UTA,0,140
2021-01-10,CHICAGO BULLS,127.0,LOS ANGELES CLIPPERS,130.0,3,LAC,CHI,1,141
2021-01-10,OKLAHOMA CITY THUNDER,129.0,BROOKLYN NETS,116.0,-13,BRK,OKC,0,142
2021-01-10,DENVER NUGGETS,114.0,NEW YORK KNICKS,89.0,-25,NYK,DEN,0,143
2021-01-10,LOS ANGELES LAKERS,120.0,HOUSTON ROCKETS,102.0,-18,HOU,LAL,0,144
2021-01-10,SAN ANTONIO SPURS,88.0,MINNESOTA TIMBERWOLVES,96.0,8,MIN,SAS,1,145
2021-01-10,TORONTO RAPTORS,105.0,GOLDEN STATE WARRIORS,106.0,1,GSW,TOR,1,146
2021-01-11,NEW YORK KNICKS,88.0,CHARLOTTE HORNETS,109.0,21,CHO,NYK,1,147
2021-01-11,MEMPHIS GRIZZLIES,101.0,CLEVELAND CAVALIERS,91.0,-10,CLE,MEM,0,148
2021-01-11,MILWAUKEE BUCKS,121.0,ORLANDO MAGIC,99.0,-22,ORL,MIL,0,149
2021-01-11,PHOENIX SUNS,107.0,WASHINGTON WIZARDS,128.0,21,WAS,PHO,1,150
2021-01-11,PHILADELPHIA 76ERS,94.0,ATLANTA HAWKS,112.0,18,ATL,PHI,1,151
2021-01-11,TORONTO RAPTORS,111.0,PORTLAND TRAIL BLAZERS,112.0,1,POR,TOR,1,152
2021-01-11,INDIANA PACERS,122.0,SACRAMENTO KINGS,127.0,5,SAC,IND,1,153
2021-01-12,MIAMI HEAT,134.0,PHILADELPHIA 76ERS,137.0,3,PHI,MIA,1,154
2021-01-12,DENVER NUGGETS,116.0,BROOKLYN NETS,122.0,6,BRK,DEN,1,155
2021-01-12,UTAH JAZZ,117.0,CLEVELAND CAVALIERS,87.0,-30,CLE,UTA,0,156
2021-01-12,LOS ANGELES LAKERS,117.0,HOUSTON ROCKETS,100.0,-17,HOU,LAL,0,157
2021-01-12,SAN ANTONIO SPURS,112.0,OKLAHOMA CITY THUNDER,102.0,-10,OKC,SAS,0,158
2021-01-12,INDIANA PACERS,104.0,GOLDEN STATE WARRIORS,95.0,-9,GSW,IND,0,159
2021-01-13,DALLAS MAVERICKS,104.0,CHARLOTTE HORNETS,93.0,-11,CHO,DAL,0,160
2021-01-13,MILWAUKEE BUCKS,110.0,DETROIT PISTONS,101.0,-9,DET,MIL,0,161
2021-01-13,BROOKLYN NETS,116.0,NEW YORK KNICKS,109.0,-7,NYK,BRK,0,162
2021-01-13,MEMPHIS GRIZZLIES,118.0,MINNESOTA TIMBERWOLVES,107.0,-11,MIN,MEM,0,163
2021-01-13,LOS ANGELES LAKERS,128.0,OKLAHOMA CITY THUNDER,99.0,-29,OKC,LAL,0,164
2021-01-13,NEW ORLEANS PELICANS,106.0,LOS ANGELES CLIPPERS,111.0,5,LAC,NOP,1,165
2021-01-13,PORTLAND TRAIL BLAZERS,132.0,SACRAMENTO KINGS,126.0,-6,SAC,POR,0,166
2021-01-14,MIAMI HEAT,108.0,PHILADELPHIA 76ERS,125.0,17,PHI,MIA,1,167
2021-01-14,HOUSTON ROCKETS,109.0,SAN ANTONIO SPURS,105.0,-4,SAS,HOU,0,168
2021-01-14,CHARLOTTE HORNETS,108.0,TORONTO RAPTORS,111.0,3,TOR,CHO,1,169
2021-01-14,GOLDEN STATE WARRIORS,104.0,DENVER NUGGETS,114.0,10,DEN,GSW,1,170
2021-01-14,INDIANA PACERS,111.0,PORTLAND TRAIL BLAZERS,87.0,-24,POR,IND,0,171
2021-01-15,ORLANDO MAGIC,97.0,BOSTON CELTICS,124.0,27,BOS,ORL,1,172
2021-01-15,NEW YORK KNICKS,103.0,CLEVELAND CAVALIERS,106.0,3,CLE,NYK,1,173
2021-01-15,DALLAS MAVERICKS,109.0,MILWAUKEE BUCKS,112.0,3,MIL,DAL,1,174
2021-01-15,CHICAGO BULLS,125.0,OKLAHOMA CITY THUNDER,127.0,2,OKC,CHI,1,175
2021-01-15,ATLANTA HAWKS,92.0,UTAH JAZZ,116.0,24,UTA,ATL,1,176
2021-01-15,NEW ORLEANS PELICANS,95.0,LOS ANGELES LAKERS,112.0,17,LAL,NOP,1,177
2021-01-15,LOS ANGELES CLIPPERS,138.0,SACRAMENTO KINGS,100.0,-38,SAC,LAC,0,178
2021-01-16,HOUSTON ROCKETS,91.0,SAN ANTONIO SPURS,103.0,12,SAS,HOU,1,179
2021-01-16,ORLANDO MAGIC,115.0,BROOKLYN NETS,122.0,7,BRK,ORL,1,180
2021-01-16,CHARLOTTE HORNETS,113.0,TORONTO RAPTORS,116.0,3,TOR,CHO,1,181
2021-01-16,PHILADELPHIA 76ERS,104.0,MEMPHIS GRIZZLIES,106.0,2,MEM,PHI,1,182
2021-01-16,DETROIT PISTONS,120.0,MIAMI HEAT,100.0,-20,MIA,DET,0,183
2021-01-16,ATLANTA HAWKS,106.0,PORTLAND TRAIL BLAZERS,112.0,6,POR,ATL,1,184
2021-01-17,NEW YORK KNICKS,105.0,BOSTON CELTICS,75.0,-30,BOS,NYK,0,185
2021-01-17,CHICAGO BULLS,117.0,DALLAS MAVERICKS,101.0,-16,DAL,CHI,0,186
2021-01-17,UTAH JAZZ,109.0,DENVER NUGGETS,105.0,-4,DEN,UTA,0,187
2021-01-17,NEW ORLEANS PELICANS,128.0,SACRAMENTO KINGS,123.0,-5,SAC,NOP,0,188
2021-01-17,INDIANA PACERS,96.0,LOS ANGELES CLIPPERS,129.0,33,LAC,IND,1,189
2021-01-18,ORLANDO MAGIC,84.0,NEW YORK KNICKS,91.0,7,NYK,ORL,1,190
2021-01-18,MINNESOTA TIMBERWOLVES,97.0,ATLANTA HAWKS,108.0,11,ATL,MIN,1,191
2021-01-18,SAN ANTONIO SPURS,125.0,PORTLAND TRAIL BLAZERS,104.0,-21,POR,SAS,0,192
2021-01-18,PHOENIX SUNS,104.0,MEMPHIS GRIZZLIES,108.0,4,MEM,PHO,1,193
2021-01-18,MILWAUKEE BUCKS,123.0,BROOKLYN NETS,125.0,2,BRK,MIL,1,194
2021-01-18,DALLAS MAVERICKS,93.0,TORONTO RAPTORS,116.0,23,TOR,DAL,1,195
2021-01-18,HOUSTON ROCKETS,120.0,CHICAGO BULLS,125.0,5,CHI,HOU,1,196
2021-01-18,DETROIT PISTONS,107.0,MIAMI HEAT,113.0,6,MIA,DET,1,197
2021-01-18,GOLDEN STATE WARRIORS,115.0,LOS ANGELES LAKERS,113.0,-2,LAL,GSW,0,198
2021-01-19,OKLAHOMA CITY THUNDER,101.0,DENVER NUGGETS,119.0,18,DEN,OKC,1,199
2021-01-19,NEW ORLEANS PELICANS,102.0,UTAH JAZZ,118.0,16,UTA,NOP,1,200
2021-01-20,BROOKLYN NETS,135.0,CLEVELAND CAVALIERS,147.0,12,CLE,BRK,1,201
2021-01-20,DALLAS MAVERICKS,124.0,INDIANA PACERS,112.0,-12,IND,DAL,0,202
2021-01-20,BOSTON CELTICS,109.0,PHILADELPHIA 76ERS,117.0,8,PHI,BOS,1,203
2021-01-20,DETROIT PISTONS,115.0,ATLANTA HAWKS,123.0,8,ATL,DET,1,204
2021-01-20,MIAMI HEAT,111.0,TORONTO RAPTORS,102.0,-9,TOR,MIA,0,205
2021-01-20,ORLANDO MAGIC,97.0,MINNESOTA TIMBERWOLVES,96.0,-1,MIN,ORL,0,206
