DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS
2021-01-22,Denver Nuggets,130.0,Phoenix Suns,126.0
2021-01-22,New York Knicks,94.0,Sacramento Kings,103.0
2021-01-23,Miami Heat,124.0,Brooklyn Nets,128.0
2021-01-23,Philadelphia 76ers,114.0,Detroit Pistons,110.0
2021-01-23,New Orleans Pelicans,110.0,Minnesota Timberwolves,120.0
2021-01-23,Los Angeles Lakers,101.0,Chicago Bulls,90.0
2021-01-23,Houston Rockets,133.0,Dallas Mavericks,108.0
2021-01-23,Denver Nuggets,120.0,Phoenix Suns,112.0
2021-01-23,Golden State Warriors,108.0,Utah Jazz,127.0
2021-01-24,Toronto Raptors,107.0,Indiana Pacers,102.0
2021-01-24,Oklahoma City Thunder,100.0,Los Angeles Clippers,108.0
2021-01-24,Cleveland Cavaliers,103.0,Boston Celtics,141.0
2021-01-24,Charlotte Hornets,107.0,Orlando Magic,104.0
2021-01-24,Atlanta Hawks,115.0,Milwaukee Bucks,129.0
2021-01-24,Washington Wizards,101.0,San Antonio Spurs,121.0
2021-01-24,New York Knicks,113.0,Portland Trail Blazers,116.0
2021-01-25,Philadelphia 76ers,104.0,Detroit Pistons,119.0
2021-01-25,Toronto Raptors,114.0,Indiana Pacers,129.0
2021-01-25,Charlotte Hornets,108.0,Orlando Magic,117.0
2021-01-25,Miami Heat,85.0,Brooklyn Nets,98.0
2021-01-25,Los Angeles Lakers,115.0,Cleveland Cavaliers,108.0
2021-01-25,Denver Nuggets,117.0,Dallas Mavericks,113.0
2021-01-25,Boston Celtics,119.0,Chicago Bulls,103.0
2021-01-25,Minnesota Timberwolves,108.0,Golden State Warriors,130.0
2021-01-25,Oklahoma City Thunder,125.0,Portland Trail Blazers,122.0
2021-01-26,Los Angeles Clippers,99.0,Atlanta Hawks,108.0
2021-01-26,Washington Wizards,88.0,Houston Rockets,107.0
2021-01-26,New York Knicks,94.0,Utah Jazz,108.0
2021-01-27,Indiana Pacers,116.0,Charlotte Hornets,106.0
2021-01-27,Detroit Pistons,107.0,Cleveland Cavaliers,122.0
2021-01-27,Sacramento Kings,121.0,Orlando Magic,107.0
2021-01-27,Brooklyn Nets,132.0,Atlanta Hawks,128.0
2021-01-27,Denver Nuggets,109.0,Miami Heat,82.0
2021-01-27,Los Angeles Lakers,106.0,Philadelphia 76ers,107.0
2021-01-27,Milwaukee Bucks,115.0,Toronto Raptors,108.0
2021-01-27,Boston Celtics,106.0,San Antonio Spurs,110.0
2021-01-27,Washington Wizards,106.0,New Orleans Pelicans,124.0
2021-01-27,Oklahoma City Thunder,102.0,Phoenix Suns,97.0
2021-01-27,Dallas Mavericks,104.0,Utah Jazz,116.0
2021-01-27,Minnesota Timberwolves,111.0,Golden State Warriors,123.0
2021-01-28,Portland Trail Blazers,101.0,Houston Rockets,104.0
2021-01-28,Los Angeles Lakers,92.0,Detroit Pistons,107.0
2021-01-28,Los Angeles Clippers,109.0,Miami Heat,105.0
2021-01-28,Golden State Warriors,93.0,Phoenix Suns,114.0
2021-01-29,Indiana Pacers,105.0,Charlotte Hornets,108.0
2021-01-29,Atlanta Hawks,116.0,Washington Wizards,100.0
2021-01-29,Milwaukee Bucks,126.0,New Orleans Pelicans,131.0
2021-01-29,Cleveland Cavaliers,81.0,New York Knicks,102.0
2021-01-29,Sacramento Kings,126.0,Toronto Raptors,124.0
2021-01-29,Philadelphia 76ers,118.0,Minnesota Timberwolves,94.0
2021-01-29,Brooklyn Nets,147.0,Oklahoma City Thunder,125.0
2021-01-29,Los Angeles Clippers,116.0,Orlando Magic,90.0
2021-01-29,Denver Nuggets,109.0,San Antonio Spurs,119.0
2021-01-29,Dallas Mavericks,101.0,Utah Jazz,120.0
2021-01-30,Portland Trail Blazers,123.0,Chicago Bulls,122.0
2021-01-30,Milwaukee Bucks,114.0,Charlotte Hornets,126.0
2021-01-30,Sacramento Kings,104.0,Miami Heat,105.0
2021-01-30,Houston Rockets,126.0,New Orleans Pelicans,112.0
2021-01-30,Los Angeles Lakers,96.0,Boston Celtics,95.0
2021-01-30,Memphis Grizzlies,129.0,San Antonio Spurs,112.0
2021-01-30,Phoenix Suns,111.0,Dallas Mavericks,105.0
2021-01-30,Detroit Pistons,91.0,Golden State Warriors,118.0
2021-01-31,Los Angeles Clippers,129.0,New York Knicks,115.0
2021-01-31,Utah Jazz,117.0,Denver Nuggets,128.0
2021-01-31,Philadelphia 76ers,119.0,Indiana Pacers,110.0
2021-01-31,Orlando Magic,102.0,Toronto Raptors,115.0
2021-01-31,Brooklyn Nets,146.0,Washington Wizards,149.0
2021-01-31,Cleveland Cavaliers,104.0,Minnesota Timberwolves,109.0
2021-02-01,Los Angeles Lakers,107.0,Atlanta Hawks,99.0
2021-02-01,Charlotte Hornets,129.0,Miami Heat,121.0
2021-02-01,New York Knicks,102.0,Chicago Bulls,110.0
2021-02-01,Minnesota Timberwolves,98.0,Cleveland Cavaliers,100.0
2021-02-01,Portland Trail Blazers,106.0,Milwaukee Bucks,134.0
2021-02-01,Sacramento Kings,118.0,New Orleans Pelicans,109.0
2021-02-01,Houston Rockets,136.0,Oklahoma City Thunder,106.0
2021-02-01,Phoenix Suns,109.0,Dallas Mavericks,108.0
2021-02-01,Memphis Grizzlies,133.0,San Antonio Spurs,102.0
2021-02-02,Toronto Raptors,,Orlando Magic,
2021-02-02,Los Angeles Clippers,,Brooklyn Nets,
2021-02-02,Memphis Grizzlies,,Indiana Pacers,
2021-02-02,Portland Trail Blazers,,Washington Wizards,
2021-02-02,Boston Celtics,,Golden State Warriors,
2021-02-02,Detroit Pistons,,Utah Jazz,
2021-02-03,Philadelphia 76ers,,Charlotte Hornets,
2021-02-03,Indiana Pacers,,Milwaukee Bucks,
2021-02-03,Dallas Mavericks,,Atlanta Hawks,
2021-02-03,New York Knicks,,Chicago Bulls,
2021-02-03,Los Angeles Clippers,,Cleveland Cavaliers,
2021-02-03,Washington Wizards,,Miami Heat,
2021-02-03,Houston Rockets,,Oklahoma City Thunder,
2021-02-03,Minnesota Timberwolves,,San Antonio Spurs,
2021-02-03,Phoenix Suns,,New Orleans Pelicans,
2021-02-03,Boston Celtics,,Sacramento Kings,
2021-02-04,Utah Jazz,,Atlanta Hawks,
2021-02-04,Golden State Warriors,,Dallas Mavericks,
2021-02-04,Portland Trail Blazers,,Philadelphia 76ers,
2021-02-04,Houston Rockets,,Memphis Grizzlies,
2021-02-04,Denver Nuggets,,Los Angeles Lakers,
2021-02-05,New Orleans Pelicans,,Indiana Pacers,
2021-02-05,Chicago Bulls,,Orlando Magic,
2021-02-05,Toronto Raptors,,Brooklyn Nets,
2021-02-05,Milwaukee Bucks,,Cleveland Cavaliers,
2021-02-05,Utah Jazz,,Charlotte Hornets,
2021-02-05,Washington Wizards,,Miami Heat,
2021-02-05,Minnesota Timberwolves,,Oklahoma City Thunder,
2021-02-05,Detroit Pistons,,Phoenix Suns,
2021-02-05,Boston Celtics,,Los Angeles Clippers,
2021-02-06,Portland Trail Blazers,,New York Knicks,
2021-02-06,Denver Nuggets,,Sacramento Kings,
2021-02-06,Chicago Bulls,,Orlando Magic,
2021-02-06,Toronto Raptors,,Atlanta Hawks,
2021-02-06,Milwaukee Bucks,,Cleveland Cavaliers,
2021-02-06,San Antonio Spurs,,Houston Rockets,
2021-02-06,Minnesota Timberwolves,,Oklahoma City Thunder,
2021-02-06,Brooklyn Nets,,Philadelphia 76ers,
2021-02-06,Golden State Warriors,,Dallas Mavericks,
2021-02-06,Memphis Grizzlies,,New Orleans Pelicans,
2021-02-06,Detroit Pistons,,Los Angeles Lakers,
2021-02-07,Washington Wizards,,Charlotte Hornets,
2021-02-07,Utah Jazz,,Indiana Pacers,
2021-02-07,Miami Heat,,New York Knicks,
2021-02-07,Boston Celtics,,Phoenix Suns,
2021-02-07,Sacramento Kings,,Los Angeles Clippers,
